album_id,album_name,artist_id,release_date
134,Album 134,35,2000-10-02
135,Album 135,5,2023-10-17
136,Album 136,24,2001-09-08
137,Album 137,90,2022-06-19
138,Album 138,4,2002-06-14
139,Album 139,7,2000-02-22
140,Album 140,69,2012-05-11
141,Album 141,17,2013-04-19
142,Album 142,100,2014-04-09
143,Album 143,90,2005-08-24
144,Album 144,52,2012-03-25
145,Album 145,92,2020-07-20
146,Album 146,50,2008-10-11
147,Album 147,60,2023-09-07
148,Album 148,50,2004-05-08
149,Album 149,13,2022-06-09
150,Album 150,6,2001-12-27
151,Album 151,28,2017-02-22
152,Album 152,2,2013-03-14
153,Album 153,9,2014-07-13
154,Album 154,32,2005-08-25
155,Album 155,64,2016-05-05
156,Album 156,84,2002-08-26
157,Album 157,21,2018-10-11
158,Album 158,41,2022-02-20
159,Album 159,98,2022-07-01
160,Album 160,24,2010-04-17
161,Album 161,1,2007-05-04
162,Album 162,43,2001-11-17
163,Album 163,59,2019-12-20
164,Album 164,62,2001-01-21
165,Album 165,51,2016-08-26
166,Album 166,65,2006-06-08
167,Album 167,61,2010-08-22
168,Album 168,49,2003-06-23
169,Album 169,95,2006-11-15
170,Album 170,56,2004-07-27
171,Album 171,4,2002-12-22
172,Album 172,83,2006-11-19
173,Album 173,40,2016-03-16
174,Album 174,96,2010-10-21
175,Album 175,9,2018-05-02
176,Album 176,10,2022-11-14
177,Album 177,82,2017-06-15
178,Album 178,21,2017-06-04
179,Album 179,66,2015-07-19
180,Album 180,77,2023-11-09
181,Album 181,18,2012-02-12
182,Album 182,82,2000-05-08
183,Album 183,32,2009-10-27
184,Album 184,67,2001-09-22
185,Album 185,39,2017-06-24
186,Album 186,24,2008-04-08
187,Album 187,90,2014-11-15
188,Album 188,53,2003-03-15
189,Album 189,40,2011-11-15
190,Album 190,82,2017-10-26
191,Album 191,27,2017-03-18
192,Album 192,5,2018-06-06
193,Album 193,82,2011-07-06
194,Album 194,17,2019-02-09
195,Album 195,19,2021-12-05
196,Album 196,59,2019-04-15
197,Album 197,30,2013-12-26
198,Album 198,6,2022-11-28
199,Album 199,18,2017-07-12
200,Album 200,61,2010-07-15
